Date,Open,High,Low,Close,Volume,Adj Close
2017-01-13,167.97,168.48,166.88,167.34,2872600,167.34
2017-01-12,167.77,168.01,165.56,167.95,2927500,167.95
2017-01-11,166.05,167.76,165.60,167.75,3585800,167.75
2017-01-10,167.98,168.09,165.34,165.52,4097100,165.52
2017-01-09,169.47,169.80,167.62,167.65,3184700,167.65
2017-01-06,168.69,169.92,167.52,169.53,2814900,169.53
2017-01-05,169.25,169.39,167.26,168.70,2681000,168.70
2017-01-04,167.77,169.87,167.36,169.26,3357000,169.26
2017-01-03,167.00,167.87,166.01,167.19,2927900,167.19
2016-12-30,166.44,166.70,165.50,165.99,2951300,165.99
2016-12-29,166.02,166.99,166.00,166.60,1594000,166.60
2016-12-28,167.29,167.74,166.00,166.19,1721800,166.19
2016-12-27,166.98,167.98,166.85,167.14,1396000,167.14
2016-12-23,167.00,167.49,166.45,166.71,1699200,166.71
2016-12-22,167.36,168.23,166.58,167.06,2778900,167.06
2016-12-21,166.25,167.94,165.25,167.33,3568400,167.33
2016-12-20,167.49,168.25,166.45,167.60,2170400,167.60
2016-12-19,166.83,167.26,166.00,166.68,2855700,166.68
2016-12-16,168.97,169.11,166.06,166.73,6679200,166.73
2016-12-15,168.01,169.85,167.78,168.02,3363200,168.02
2016-12-14,168.37,169.89,167.45,168.51,3957600,168.51
2016-12-13,165.68,169.95,165.68,168.29,5838700,168.29
2016-12-12,166.72,166.79,165.07,165.50,3389200,165.50
2016-12-09,165.18,166.72,164.60,166.52,3143900,166.52
2016-12-08,164.87,166.00,164.22,165.36,3259700,165.36
2016-12-07,160.60,165.18,160.39,164.79,4377300,164.79
2016-12-06,160.13,160.79,158.93,160.35,2814800,160.35
2016-12-05,160.85,161.15,159.59,159.84,3426500,159.84
2016-12-02,159.00,160.29,158.41,160.02,2737400,160.02
2016-12-01,161.95,162.20,158.30,159.82,4621300,159.82
2016-11-30,163.35,163.80,162.21,162.22,4319400,162.22
2016-11-29,164.00,164.41,163.03,163.53,3130200,163.53
2016-11-28,163.20,164.66,162.70,164.52,4435900,164.52
2016-11-25,161.83,163.19,161.83,163.14,1605300,163.14
2016-11-23,161.94,162.38,161.36,161.98,2252700,161.98
2016-11-22,163.00,163.00,161.95,162.67,2707900,162.67
2016-11-21,160.69,163.00,160.37,162.77,4601900,162.77
2016-11-18,159.80,160.72,159.21,160.39,2958700,160.39
2016-11-17,159.22,159.93,158.85,159.80,2256400,159.80
2016-11-16,158.46,159.55,158.03,159.29,2244100,159.29
2016-11-15,158.42,159.15,157.55,158.67,3385600,158.67
2016-11-14,161.25,161.86,157.58,158.21,5180400,158.21
2016-11-11,159.97,161.34,159.33,161.27,4436400,161.27
2016-11-10,157.66,161.16,157.59,160.22,7715800,160.22
2016-11-09,152.96,155.56,151.00,154.81,5386600,154.81
2016-11-08,154.56,155.93,153.06,155.17,3921900,155.17
2016-11-07,153.99,156.11,153.84,155.72,3804900,154.32
2016-11-04,152.40,153.64,151.87,152.43,2470400,151.06
2016-11-03,152.51,153.74,151.80,152.37,2878800,151.00
2016-11-02,152.48,153.35,151.67,151.95,3074400,150.58
2016-11-01,153.50,153.91,151.74,152.79,3191900,151.42
2016-10-31,152.76,154.33,152.76,153.69,3553200,152.31
2016-10-28,154.05,154.44,152.18,152.61,3654500,151.24
2016-10-27,152.82,154.06,152.02,153.35,4229300,151.97
2016-10-26,150.71,152.94,150.26,151.81,2811700,150.45
2016-10-25,150.57,151.16,149.83,150.88,2647500,149.52
2016-10-24,150.40,151.52,150.40,150.57,2666700,149.22
2016-10-21,150.58,151.15,149.56,149.63,4414200,148.28
2016-10-20,151.28,152.90,151.02,151.52,4023100,150.16
2016-10-19,151.27,152.45,150.83,151.26,4632900,149.90
2016-10-18,150.02,151.00,147.79,150.72,12770600,149.36
2016-10-17,154.45,155.89,154.34,154.77,5890400,153.38
2016-10-14,154.47,155.53,154.09,154.45,4358200,153.06
2016-10-13,153.70,154.22,152.27,153.72,2909900,152.34
2016-10-12,154.97,154.97,153.08,154.29,2964000,152.90
2016-10-11,156.73,156.95,153.89,154.79,2901300,153.40
2016-10-10,156.71,158.49,156.66,157.02,2481300,155.61
2016-10-07,157.14,157.70,154.86,155.67,2671900,154.27
2016-10-06,156.84,157.43,155.89,156.88,1950100,155.47
2016-10-05,157.07,157.83,156.72,157.08,1684500,155.67
2016-10-04,157.67,158.53,155.82,156.46,2884100,155.05
2016-10-03,158.06,158.37,157.02,157.61,2227800,156.19
2016-09-30,158.90,159.84,158.06,158.85,3596900,157.42
2016-09-29,158.63,165.00,157.46,158.11,3374800,156.69
2016-09-28,156.99,158.63,156.23,158.29,3310000,156.87
2016-09-27,154.32,156.77,153.81,156.77,2987200,155.36
2016-09-26,154.46,154.46,153.46,153.98,2533300,152.60
2016-09-23,155.62,156.04,154.71,154.98,2702200,153.59
2016-09-22,156.15,157.22,155.69,156.11,2691100,154.71
2016-09-21,154.91,155.68,153.87,155.53,2473900,154.13
2016-09-20,155.87,156.57,154.45,154.45,2159100,153.06
2016-09-19,154.87,156.19,154.55,154.87,2450100,153.48
2016-09-16,155.04,155.40,153.47,153.84,6463600,152.46
2016-09-15,154.30,156.33,153.21,155.66,3645600,154.26
2016-09-14,155.70,155.87,153.39,154.05,3860600,152.67
2016-09-13,157.63,157.93,155.50,155.81,3636700,154.41
2016-09-12,155.26,158.53,154.84,158.29,4367500,156.87
2016-09-09,158.03,158.40,155.65,155.69,5186000,154.29
2016-09-08,160.55,161.21,158.76,159.00,3963200,157.57
2016-09-07,160.19,161.76,160.00,161.64,2867300,160.19
2016-09-06,159.88,160.86,159.11,160.35,2994100,158.91
2016-09-02,159.88,160.57,159.15,159.55,2315400,158.12
2016-09-01,158.32,159.62,158.10,159.54,2358400,158.11
2016-08-31,159.66,159.66,158.26,158.88,2323600,157.45
2016-08-30,159.76,160.15,158.81,159.40,1813300,157.97
2016-08-29,158.83,160.21,158.50,159.72,2475900,158.28
2016-08-26,158.88,160.44,157.85,158.32,2498900,156.90
2016-08-25,159.00,159.54,158.42,158.63,2575000,157.20
2016-08-24,159.89,160.18,158.32,159.05,3645800,157.62
2016-08-23,160.33,161.34,160.23,160.26,2838100,158.82
2016-08-22,160.00,160.57,159.13,160.00,2039300,158.56
2016-08-19,160.84,160.91,159.52,160.04,2815200,158.60
2016-08-18,160.89,162.00,160.44,161.36,3652000,159.91
2016-08-17,160.97,161.16,159.84,160.44,3225900,159.00
2016-08-16,161.11,161.93,160.69,160.70,2210200,159.26
2016-08-15,162.40,162.97,161.78,161.88,2970400,160.42
2016-08-12,163.19,163.46,161.52,161.95,2543100,160.49
2016-08-11,162.25,164.95,162.18,163.53,8768600,162.06
2016-08-10,162.19,162.66,161.96,162.08,2466700,160.62
2016-08-09,162.22,162.77,161.65,161.77,2737500,160.32
2016-08-08,162.73,163.27,161.58,162.04,3039300,160.58
2016-08-05,162.00,163.51,161.57,163.50,3812400,160.64
2016-08-04,160.86,161.70,160.12,161.55,2489100,158.73
2016-08-03,160.13,160.86,159.80,160.67,2861700,157.86
2016-08-02,161.27,161.45,160.36,160.58,3080900,157.77
2016-08-01,160.65,161.65,159.84,161.45,2823600,158.63
2016-07-29,161.36,161.67,160.03,160.62,3547500,157.81
2016-07-28,161.38,161.81,160.71,161.37,2340400,158.55
2016-07-27,162.12,162.57,161.18,161.83,2162700,159.00
2016-07-26,162.65,163.60,161.37,162.12,2894600,159.29
2016-07-25,162.00,162.88,161.75,162.65,2804600,159.81
2016-07-22,160.78,162.17,160.48,162.07,2520100,159.24
2016-07-21,160.75,161.85,159.89,160.45,3518900,157.65
2016-07-20,159.97,161.71,159.60,161.36,4376300,158.54
2016-07-19,161.78,162.14,157.89,159.58,7120000,156.79
2016-07-18,159.30,160.75,158.73,159.86,6729700,157.07
2016-07-15,159.90,159.98,158.50,159.78,4476800,156.99
2016-07-14,158.81,161.40,158.58,160.28,4637600,157.48
2016-07-13,157.75,158.34,157.06,158.02,2746400,155.26
2016-07-12,156.00,157.12,155.52,157.04,3843800,154.30
2016-07-11,154.60,156.04,154.50,155.33,2833700,152.62
2016-07-08,154.00,154.60,153.08,154.46,3040600,151.76
2016-07-07,152.75,153.69,151.89,152.60,2138400,149.93
2016-07-06,151.85,152.41,149.92,152.37,2569400,149.71
2016-07-05,151.19,152.00,150.76,151.68,2465200,149.03
2016-07-01,151.78,152.97,151.40,152.35,2658300,149.69
2016-06-30,148.86,151.91,148.67,151.78,3967100,149.13
2016-06-29,146.50,148.48,146.45,148.46,3367700,145.87
2016-06-28,144.78,145.73,144.22,145.70,3997700,143.15
2016-06-27,146.18,146.60,142.50,143.50,5017900,140.99
2016-06-24,149.97,150.61,146.18,146.59,9082800,144.03
2016-06-23,153.45,155.48,152.60,155.35,3969400,152.64
2016-06-22,153.75,154.71,152.27,152.92,2833700,150.25
2016-06-21,154.16,154.57,153.69,154.05,2760300,151.36
2016-06-20,152.60,154.67,152.52,153.61,3572100,150.93
2016-06-17,150.96,152.72,150.60,151.99,4663900,149.33
2016-06-16,150.19,151.29,149.00,151.06,2449100,148.42
2016-06-15,151.46,151.79,150.60,150.68,2260400,148.05
2016-06-14,151.28,151.79,150.40,151.06,2865800,148.42
2016-06-13,151.63,152.50,150.28,151.28,3610400,148.64
2016-06-10,152.79,153.33,151.86,152.37,3120600,149.71
2016-06-09,152.92,153.76,152.73,153.42,2021800,150.74
2016-06-08,153.53,154.09,153.04,154.00,2935000,151.31
2016-06-07,153.31,153.93,152.66,153.33,4465000,150.65
2016-06-06,153.09,153.95,152.34,152.73,2378700,150.06
2016-06-03,152.40,153.04,151.70,152.89,2314800,150.22
2016-06-02,152.59,153.50,152.12,153.50,2642600,150.82
2016-06-01,153.00,153.27,151.54,152.51,2663400,149.84
2016-05-31,152.56,153.81,152.27,153.74,5836600,151.05
2016-05-27,152.35,152.93,152.15,152.84,2422100,150.17
2016-05-26,151.55,152.51,151.05,152.44,3062900,149.78
2016-05-25,148.93,152.09,148.50,151.69,4355300,149.04
2016-05-24,146.88,148.75,146.88,148.31,2929300,145.72
2016-05-23,147.61,147.95,146.66,146.77,2103800,144.21
2016-05-20,145.71,147.51,145.55,147.25,3671500,144.68
2016-05-19,146.48,146.93,143.96,144.93,3685600,142.40
2016-05-18,147.99,148.52,146.36,147.34,2491100,144.77
2016-05-17,149.21,149.50,147.29,148.00,3490600,145.41
2016-05-16,147.65,149.99,147.44,149.46,3069100,146.85
2016-05-13,148.79,149.86,147.42,147.72,2398000,145.14
2016-05-12,149.21,149.39,147.11,148.84,3249200,146.24
2016-05-11,149.71,151.09,148.74,148.95,3093000,146.35
2016-05-10,148.24,150.04,147.74,149.97,3992700,147.35
2016-05-09,147.70,148.20,147.01,147.34,4302400,144.77
2016-05-06,144.86,147.97,144.47,147.29,4880300,144.72
2016-05-05,145.95,147.30,145.45,146.47,6501200,142.53
2016-05-04,143.36,145.00,143.31,144.25,2577100,140.37
2016-05-03,144.65,144.90,142.90,144.13,3553500,140.26
2016-05-02,146.56,147.00,144.43,145.27,3502400,141.37
2016-04-29,146.49,147.34,144.19,145.94,4225800,142.02
2016-04-28,149.75,150.18,146.73,147.07,3791500,143.12
2016-04-27,149.35,150.78,148.97,150.47,3111200,146.43
2016-04-26,148.65,149.79,147.90,149.08,2979800,145.07
2016-04-25,148.16,148.90,147.11,148.81,2848900,144.81
2016-04-22,149.44,151.00,147.50,148.50,5191900,144.51
2016-04-21,146.58,150.12,146.46,149.30,6017700,145.29
2016-04-20,144.24,147.20,144.00,146.11,6754300,142.18
2016-04-19,146.47,146.95,142.61,144.00,13190200,140.13
2016-04-18,151.72,153.14,151.49,152.53,5737700,148.43
2016-04-15,151.04,152.10,150.96,151.72,3657600,147.64
2016-04-14,151.50,152.76,150.38,151.16,3176500,147.10
2016-04-13,150.75,151.23,149.63,151.23,3168400,147.17
2016-04-12,149.61,150.11,148.58,149.63,3595800,145.61
2016-04-11,150.26,151.95,149.22,149.25,3846100,145.24
2016-04-08,149.06,149.99,148.12,149.35,3293800,145.34
2016-04-07,149.07,149.60,148.00,148.25,3663000,144.27
2016-04-06,149.90,150.15,147.81,150.02,4194600,145.99
2016-04-05,151.43,151.60,149.65,150.00,3337000,145.97
2016-04-04,152.34,153.52,151.91,152.07,3931200,147.98
2016-04-01,150.51,152.96,150.25,152.52,3925500,148.42
2016-03-31,149.79,153.10,149.36,151.45,6780600,147.38
2016-03-30,149.95,150.41,148.32,148.41,3331200,144.42
2016-03-29,147.59,149.76,147.50,149.33,3138500,145.32
2016-03-28,147.75,148.65,147.23,148.40,3265100,144.41
2016-03-24,144.98,148.22,144.49,147.95,5044500,143.97
2016-03-23,148.00,148.03,145.13,145.40,4764200,141.49
2016-03-22,148.06,149.28,147.84,148.10,4081900,144.12
2016-03-21,147.30,148.71,146.72,148.63,3721600,144.64
2016-03-18,147.40,147.51,145.51,147.09,12089700,143.14
2016-03-17,144.78,147.32,144.45,147.04,5821600,143.09
2016-03-16,142.62,144.88,142.11,144.79,4221900,140.90
2016-03-15,141.74,143.33,141.54,142.96,3707500,139.12
2016-03-14,142.01,143.19,141.04,142.78,4048800,138.94
2016-03-11,141.73,142.92,140.51,142.36,4421900,138.54
2016-03-10,141.24,141.47,138.09,140.19,4020600,136.42
2016-03-09,139.31,142.17,139.23,140.41,4406500,136.64
2016-03-08,139.71,140.35,137.42,139.07,5579100,135.33
2016-03-07,137.28,140.51,136.87,140.15,5171000,136.38
2016-03-04,137.54,139.42,137.02,137.80,3968400,134.10
2016-03-03,137.22,137.96,136.07,137.80,5156400,134.10
2016-03-02,133.70,137.44,133.22,136.30,5217200,132.64
2016-03-01,132.24,134.64,132.03,134.37,3788500,130.76
2016-02-29,132.00,133.36,130.90,131.03,4428000,127.51
2016-02-26,134.51,134.92,131.95,132.03,4386200,128.48
2016-02-25,133.29,134.51,130.88,134.50,4358300,130.89
2016-02-24,131.55,133.49,129.68,132.80,4122600,129.23
2016-02-23,133.14,133.41,132.01,132.40,3439700,128.84
2016-02-22,133.08,134.31,132.41,133.77,4457400,130.18
2016-02-19,132.36,133.65,130.84,133.08,5125300,129.50
